sno,Food_description,Energy_kc,Protein_per_wt,Total_fat_per_wt,Carbohydrate_per_wt,Fiber_per_wt,Calcium_per_wt,Copper_per_wt,Iron_per_wt,Magnesium_per_wt,Potassium_per_wt,Zinc_per_wt,Vitamin_A_(IU)_per_wt,Vitamin_D_per_wt,Thiamin_per_wt,Riboflavin_per_wt,Vit_B6_per_wt(Pyridoxine),Vitamin_B12_per_wt,"Folate_per_wt  ",Niacin_per_wt,Pantothenic_acid_per_wt,Vitamin_C_per_wt,Vitamin_E_per_wt,Vitamin_K_per_wt,Fa_sat_per_wt,Monounsaturated_per_wt,Fa_poly_per_wt,Total_Sugar
,,(Calories),gm_per_100_gm,gm_per_100_gm,gm_per_100_gm,gm_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,(IU)_per_100_gm,IU_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,(mcg)_per_100_gm,(mcg)_per_100_gm,mg_per_100_gm,Mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,(mcg)_per_100_gm,gm_per_100_gm,gm_per_100_gm,gm_per_100_gm,gm_per_100_gm
17014,"LAMB,DOM,LEG,WHL (SHK&SIRL),LN,1_per_4""FAT,CHOIC,CKD,RSTD",191,28.3,7.74,0,0,8,0.12,2.12,26,338,4.94,0,0,0.11,0.29,0.17,2.64,23,6.34,0.71,0,0.18,0,2.76,3.39,0.41,0
17015,"LAMB,DOM,LEG,SHANK HALF,LN&FAT,1_per_4""FAT,CHOIC,RAW",201,18.58,13.49,0,0,8,0.115,1.71,24,261,3.5,0,0,0.13,0.23,0.15,2.51,20,6.22,0.68,0,0.21,0,5.8,5.53,0.79,0
17016,"LAMB,DOM,LEG,SHANK HALF,LN&FAT,1_per_4""FAT,CHOIC,CKD,RSTD",225,26.41,12.45,0,0,10,0.117,1.98,25,326,4.66,0,0,0.1,0.27,0.16,2.67,22,6.55,0.7,0,0.16,0,5.09,5.29,0.67,0
17017,"LAMB,DOM,LEG,SHANK HALF,LN,1_per_4""FAT,CHOIC,RAW",125,20.52,4.19,0,0,6,0.124,1.82,27,290,3.89,0,0,0.14,0.25,0.17,2.64,23,6.19,0.7,0,0.2,0,1.5,1.69,0.29,0
17018,"LAMB,DOM,LEG,SHANK HALF,LN,1_per_4""FAT,CHOIC,CKD,RSTD",180,28.17,6.67,0,0,8,0.121,2.06,26,342,5.02,0,0,0.11,0.28,0.17,2.71,24,6.39,0.71,0,0.18,0,2.38,2.92,0.36,0
17019,"LAMB,DOM,LEG,SIRLOIN HALF,LN&FAT,1_per_4""FAT,CHOIC,RAW",272,16.94,22.11,0,0,10,0.112,1.61,22,231,3.08,0,0,0.12,0.23,0.14,2.48,18,6.34,0.7,0,0.22,0,9.73,9.08,1.27,0
17020,"LAMB,DOM,LEG,SIRLOIN HALF,LN&FAT,1_per_4""FAT,CHOIC,CKD,RSTD",292,24.63,20.67,0,0,11,0.112,2,22,301,4.13,0,0,0.11,0.28,0.14,2.53,17,6.62,0.67,0,0.13,0,8.74,8.71,1.12,0
17021,"LAMB,DOM,LEG,SIRLOIN HALF,LN,1_per_4""FAT,CHOIC,RAW",134,20.55,5.08,0,0,7,0.132,1.83,27,284,3.77,0,0,0.14,0.25,0.17,2.76,24,6.33,0.74,0,0.24,0,1.82,2.04,0.35,0
17022,"LAMB,DOM,LEG,SIRLOIN HALF,LN,1_per_4""FAT,CHOIC,CKD,RSTD",204,28.35,9.17,0,0,8,0.119,2.2,25,333,4.85,0,0,0.12,0.31,0.17,2.58,21,6.27,0.7,0,0.17,0,3.28,4.02,0.49,0
17023,"LAMB,DOM,LOIN,LN&FAT,1_per_4""FAT,CHOIC,RAW",310,16.32,26.63,0,0,15,0.105,1.61,21,214,2.53,0,0,0.11,0.21,0.13,2.04,17,6.47,0.63,0,0.18,0,11.76,10.94,1.52,0
17024,"LAMB,DOM,LOIN,LN&FAT,1_per_4""FAT,CHOIC,CKD,BRLD",316,25.17,23.08,0,0,20,0.13,1.81,24,327,3.48,0,0,0.1,0.25,0.13,2.47,18,7.1,0.64,0,0.13,0,9.83,9.7,1.26,0
17025,"LAMB,DOM,LOIN,LN&FAT,1_per_4""FAT,CHOIC,CKD,RSTD",309,22.55,23.59,0,0,18,0.119,2.12,23,246,3.41,0,0,0.1,0.24,0.11,2.21,19,7.1,0.65,0,0.11,0,10.24,9.68,1.37,0
17026,"LAMB,DOM,LOIN,LN,1_per_4""FAT,CHOIC,RAW",143,20.88,5.94,0,0,12,0.128,1.91,27,276,3.19,0,0,0.13,0.23,0.17,2.21,24,6.51,0.66,0,0.19,0,2.13,2.39,0.41,0
17027,"LAMB,DOM,LOIN,LN,1_per_4""FAT,CHOIC,CKD,BRLD",216,29.99,9.73,0,0,19,0.145,2,28,376,4.13,0,0,0.11,0.28,0.16,2.52,24,6.85,0.66,0,0.16,0,3.48,4.26,0.52,0
17028,"LAMB,DOM,LOIN,LN,1_per_4""FAT,CHOIC,CKD,RSTD",202,26.59,9.76,0,0,17,0.132,2.44,27,267,4.06,0,0,0.1,0.27,0.16,2.16,25,6.83,0.68,0,0.16,0,3.72,3.95,0.64,0
17029,"LAMB,DOM,RIB,LN&FAT,1_per_4""FAT,CHOIC,RAW",372,14.52,34.39,0,0,15,0.089,1.39,18,190,2.71,0,0,0.1,0.19,0.11,2.09,14,6.09,0.62,0,0.18,0,15.16,14.13,1.97,0
