sno,Food_description,Energy_kc,Protein_per_wt,Total_fat_per_wt,Carbohydrate_per_wt,Fiber_per_wt,Calcium_per_wt,Copper_per_wt,Iron_per_wt,Magnesium_per_wt,Potassium_per_wt,Zinc_per_wt,Vitamin_A_(IU)_per_wt,Vitamin_D_per_wt,Thiamin_per_wt,Riboflavin_per_wt,Vit_B6_per_wt(Pyridoxine),Vitamin_B12_per_wt,"Folate_per_wt  ",Niacin_per_wt,Pantothenic_acid_per_wt,Vitamin_C_per_wt,Vitamin_E_per_wt,Vitamin_K_per_wt,Fa_sat_per_wt,Monounsaturated_per_wt,Fa_poly_per_wt,Total_Sugar
,,(Calories),gm_per_100_gm,gm_per_100_gm,gm_per_100_gm,gm_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,(IU)_per_100_gm,IU_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,(mcg)_per_100_gm,(mcg)_per_100_gm,mg_per_100_gm,Mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,(mcg)_per_100_gm,gm_per_100_gm,gm_per_100_gm,gm_per_100_gm,gm_per_100_gm
01001,"BUTTER,WITH SALT",717,0.85,81.11,0.06,0,24,0.016,0.16,2,26,0.05,3058,56,0.005,0.034,0.003,0.125,3,0.042,0.11,0,1.58,7,50.489,23.426,1.832,0
01002,"BUTTER,WHIPPED,WITH SALT",716.818,0.85,81.11,0.06,0,23.5,0.016,0.16,2.18,26,0.05,3058,0,0.005,0.034,0.003,0.125,2.8,0.042,0.11,0,1.58,0,50.489,23.426,1.832,0
01003,"BUTTER OIL,ANHYDROUS",876,0.28,99.48,0,0,3.9,0.001,0.002,0.44,4.9,0.01,3750,0,0.001,0.005,0.001,0.012,0.2,0.003,0.01,0,2.8,0,61.924,28.732,2.247,0
01004,"CHEESE,BLUE",353.058,21.4,28.74,2.34,0,527.6,0.04,0.31,22.93,256.3,2.66,721,0,0.029,0.382,0.166,1.217,36.4,1.016,1.729,0,0.64,0,18.669,7.778,0.536,0
01005,"CHEESE,BRICK",370.919,23.24,29.68,2.79,0,673.7,0.024,0.43,24.32,135.8,2.6,1083,0,0.014,0.351,0.065,1.257,20.3,0.118,0.288,0,0.5,0,18.764,8.598,0.491,0
01006,"CHEESE,BRIE",333.651,20.75,27.68,0.45,0,184,0.019,0.5,20,152,2.38,667,0,0.07,0.52,0.235,1.65,65,0.38,0.69,0,0.655,0,17.41,8.013,0.513,0
01007,"CHEESE,CAMEMBERT",299.571,19.8,24.26,0.46,0,387.6,0.021,0.33,19.97,186.6,2.38,923,12,0.028,0.488,0.227,1.296,62.2,0.63,1.364,0,0.655,0,15.259,7.023,0.45,0
01008,"CHEESE,CARAWAY",376.029,25.18,29.2,3.06,0,673.3,0.024,0.64,22.1,93,2.94,1054,0,0.031,0.45,0.074,0.27,18.2,0.18,0.19,0,0,0,18.584,8.275,0.508,0
01009,"CHEESE,CHEDDAR",402.577,24.9,33.14,1.28,0,721.3,0.031,0.68,27.78,98.4,3.11,1059,12,0.027,0.375,0.074,0.827,18.2,0.08,0.413,0,0.36,3,21.092,9.391,0.577,0
01010,"CHEESE,CHESHIRE",387.262,23.37,30.6,4.78,0,643,0.042,0.21,20.9,95,2.79,985,0,0.046,0.293,0.074,0.827,18.2,0.08,0.413,0,0,0,19.475,8.671,0.533,0
01011,"CHEESE,COLBY",393.648,23.76,32.11,2.57,0,684.6,0.042,0.76,25.82,126.5,3.07,1034,0,0.015,0.375,0.079,0.826,18.2,0.093,0.21,0,0.35,0,20.218,9.28,0.676,0
01012,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",103.347,12.49,4.51,2.68,0,60,0.028,0.14,5.26,84.3,0.37,163,0,0.021,0.163,0.067,0.623,12.2,0.126,0.213,0,0.122,0,2.853,1.285,0.099,0
01013,"CHEESE,COTTAGE,CRMD,W_per_FRUIT",123.63,9.9,3.4,13.3,0,47.6,0.028,0.11,4.17,66.9,0.29,123,0,0.017,0.129,0.053,0.494,9.7,0.1,0.168,0,0.092,0,2.151,0.969,0.075,0
01014,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",84.594,17.27,0.42,1.85,0,31.7,0.028,0.23,3.94,32.4,0.47,30,0,0.025,0.142,0.082,0.825,14.8,0.155,0.163,0,0.11,0,0.273,0.11,0.011,0
01015,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",89.683,13.74,1.93,3.63,0,68.5,0.028,0.16,6,96.2,0.42,70,0,0.024,0.185,0.076,0.712,13.1,0.144,0.242,0,0.056,0,1.221,0.55,0.042,0
01016,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",72.397,12.39,1.02,2.72,0,60.9,0.028,0.14,5.34,85.5,0.38,37,0,0.021,0.165,0.068,0.633,12.4,0.128,0.215,0,0.11,0,0.645,0.291,0.022,0
01017,"CHEESE,CREAM",349.04,7.55,34.87,2.66,0,79.9,0.016,1.2,6.44,119.4,0.54,1427,0,0.017,0.197,0.047,0.424,13.2,0.101,0.271,0,0.941,0,21.966,9.838,0.774,0
01018,"CHEESE,EDAM",356.603,24.99,27.8,1.43,0,731,0.036,0.44,29.77,187.7,3.75,916,36,0.037,0.389,0.076,1.535,16.2,0.082,0.281,0,0.751,0,17.572,8.125,0.418,0
01019,"CHEESE,FETA",263.556,14.21,21.28,4.09,0,492.5,0.032,0.65,19.21,61.8,2.88,447,0,0.154,0.844,0.424,1.69,32,0.991,0.967,0,0.03,0,14.946,4.623,0.326,0
01020,"CHEESE,FONTINA",389.031,25.6,31.14,1.55,0,550,0.025,0.23,14,63.5,3.5,1174,0,0.021,0.204,0.083,1.676,6,0.15,0.429,0,0.35,0,19.196,8.687,0.864,0
01021,"CHEESE,GJETOST",465.654,9.65,29.51,42.65,0,400,0.08,0.52,70,1409,1.14,1113,0,0.315,1.382,0.271,2.424,4.6,0.813,3.351,0,0,0,19.16,7.879,0.508,0
01022,"CHEESE,GOUDA",356.283,24.94,27.44,2.22,0,699.8,0.036,0.24,29,120.5,3.9,644,0,0.03,0.334,0.08,1.535,20.9,0.063,0.34,0,0.35,0,17.614,7.747,0.263,0
01023,"CHEESE,GRUYERE",412.95,29.81,32.34,0.36,0,1011,0.032,0.17,35.91,81,3.9,1219,0,0.06,0.279,0.081,1.6,10.4,0.106,0.562,0,0.35,0,18.913,10.043,1.3,0
01024,"CHEESE,LIMBURGER",327.037,20.05,27.25,0.49,0,496.7,0.021,0.13,21,128,2.1,1281,0,0.08,0.503,0.086,1.04,57.5,0.158,1.177,0,0.64,0,16.746,8.606,0.339,0
01025,"CHEESE,MONTEREY",373.322,24.48,30.28,0.68,0,746.4,0.032,0.72,27.01,80.7,3,950,0,0.015,0.39,0.079,0.826,18.2,0.093,0.21,0,0.34,0,19.066,8.751,0.637,0
01026,"CHEESE,MOZZARELLA,WHL MILK",281.379,19.42,21.6,2.22,0,517,0.02,0.18,18.58,67.1,2.21,792,0,0.015,0.243,0.056,0.654,7,0.084,0.064,0,0.35,0,13.152,6.573,0.393,0
01027,"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",318.376,21.6,24.64,2.47,0,574.9,0.022,0.2,20.67,74.6,2.46,904,0,0.016,0.27,0.062,0.727,7.8,0.094,0.071,0,0.665,0,15.561,7.027,0.566,0
01028,"CHEESE,MOZZARELLA,PART SKIM MILK",254.247,24.26,15.92,2.77,0,645.7,0.025,0.22,23.21,83.7,2.76,584,0,0.018,0.303,0.07,0.817,8.8,0.105,0.079,0,0.43,0,10.114,4.51,0.335,0
01029,"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",279.933,27.47,17.12,3.14,0,731.3,0.027,0.25,26.27,94.84,3.13,703,0,0.021,0.343,0.079,0.925,9.9,0.119,0.09,0,0.462,0,10.877,4.85,0.36,0
01030,"CHEESE,MUENSTER",368.346,23.41,30.04,1.12,0,717.3,0.031,0.41,27.35,134.4,2.81,1120,0,0.013,0.32,0.056,1.473,12.1,0.103,0.19,0,0.465,0,19.113,8.711,0.431,0
01031,"CHEESE,NEUFCHATEL",259.856,9.96,23.43,2.94,0,75.3,0.016,0.28,7.6,114.1,0.52,1134,0,0.015,0.195,0.041,0.264,11.3,0.126,0.566,0,0,0,14.797,6.772,0.448,0
01032,"CHEESE,PARMESAN,GRATED",455.811,41.56,30.02,3.74,0,1375.7,0.037,0.95,50.8,107.1,3.19,701,0,0.045,0.386,0.105,1.4,8,0.315,0.527,0,0.8,0,19.072,8.734,0.316,0
01033,"CHEESE,PARMESAN,HARD",392.159,35.75,25.83,3.22,0,1183.5,0.032,0.82,43.71,92.2,2.75,603,28,0.039,0.332,0.091,1.2,6.9,0.271,0.453,0,0.8,0,16.41,7.515,0.272,0
01034,"CHEESE,PORT DE SALUT",351.624,23.78,28.2,0.57,0,649.8,0.022,0.43,24.32,135.8,2.6,1333,0,0.014,0.24,0,1.5,18.2,0.06,0.21,0,0.5,0,16.691,9.338,0.378,0
01035,"CHEESE,PROVOLONE",351.498,25.58,26.62,2.14,0,755.9,0.026,0.52,27.58,138.3,3.23,815,0,0.019,0.321,0.073,1.463,10.4,0.156,0.476,0,0.35,0,17.078,7.393,0.494,0
01036,"CHEESE,RICOTTA,WHOLE MILK",173.939,11.26,12.98,3.04,0,207,0.021,0.38,11.3,104.6,1.16,490,0,0.013,0.195,0.043,0.338,12.2,0.104,0.213,0,0.35,0,8.295,3.627,0.273,0
01037,"CHEESE,RICOTTA,PART SKIM MILK",138.056,11.39,7.91,5.14,0,272,0.034,0.44,14.77,125,1.34,432,0,0.021,0.185,0.02,0.291,13.1,0.078,0.242,0,0.214,0,4.927,2.314,0.19,0
01038,"CHEESE,ROMANO",386.637,31.8,26.94,3.63,0,1063.8,0.03,0.77,40.93,86.3,2.58,571,0,0.037,0.37,0.085,1.124,6.8,0.077,0.424,0,0.727,0,17.115,7.838,0.284,0
01039,"CHEESE,ROQUEFORT",369.041,21.54,30.64,2,0,661.8,0.034,0.56,29.53,90.7,2.08,1047,0,0.04,0.586,0.124,0.643,49,0.734,1.731,0,0,0,19.263,8.474,0.616,0
01040,"CHEESE,SWISS",375.762,28.43,27.45,3.38,0,960.9,0.032,0.17,35.91,110.7,3.9,845,44,0.022,0.365,0.083,1.676,6.4,0.092,0.429,0,0.5,0,17.779,7.274,0.62,0
01041,"CHEESE,TILSIT",339.87,24.41,25.98,1.88,0,700,0.026,0.23,13,64.5,3.5,1045,0,0.061,0.359,0.065,2.1,20,0.205,0.346,0,0.701,0,16.775,7.136,0.398,0
01042,"CHEESE,PAST PROCESS,AMERICAN,W_per_DI NA PO4",375.459,22.15,31.25,1.6,0,615.5,0.03,0.39,22.25,162,2.99,1209.6,0,0.027,0.353,0.071,0.696,7.8,0.069,0.482,0,0.46,0,19.694,8.951,0.607,0
01043,"CHEESE,PAST PROCESS,PIMENTO",375.438,22.13,31.2,1.73,0,614.4,0.033,0.42,22.21,161.7,2.98,1262,0,0.027,0.354,0.071,0.695,7.8,0.078,0.485,2.25,0.46,0,19.663,8.937,0.606,0
01044,"CHEESE,PAST PROCESS,SWISS,W_per_DI NA PO4",333.562,24.73,25.01,2.1,0,771.9,0.027,0.61,29.12,215.5,3.61,808,0,0.014,0.276,0.036,1.226,5.9,0.038,0.26,0,0.675,0,16.045,7.046,0.342,0
01045,"CHEESE FD,COLD PK,AMERICAN",331.15,19.66,24.46,8.32,0,497.2,0.03,0.84,29.7,363,3.01,705,0,0.03,0.446,0.141,1.28,5.4,0.074,0.977,0,0,0,15.355,7.165,0.461,0
01046,"CHEESE FD,PAST PROCESS,AMERICAN,WO_per_DI NA PO4",328.181,19.61,24.6,7.29,0,574.2,0.03,0.84,30.55,279,2.99,913,0,0.029,0.442,0.141,1.118,7.3,0.14,0.558,0,0.71,0,15.443,7.206,0.464,0
01047,"CHEESE FD,PAST PROCESS,SWISS",323.204,21.92,24.14,4.5,0,723.4,0.03,0.6,28,284,3.55,856,0,0.014,0.4,0.035,2.3,5.8,0.104,0.5,0,0,0,15.487,6.801,0.33,0
01048,"CHEESE SPRD,PAST PROCESS,AMERICAN,WO_per_DI NA PO4",290.467,16.41,21.23,8.73,0,561.9,0.033,0.33,28.52,241.9,2.59,788,0,0.048,0.431,0.117,0.4,7,0.131,0.686,0,0.71,0,13.327,6.219,0.4,0
01049,"CREAM,FLUID,HALF AND HALF",130.365,2.96,11.5,4.3,0,104.9,0.01,0.07,10.17,129.6,0.51,434,0,0.035,0.149,0.039,0.329,2.5,0.078,0.289,0.86,0.11,0,7.158,3.321,0.26,0
01050,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",195.428,2.7,19.31,3.66,0,96.2,0.008,0.04,8.65,121.7,0.27,633,0,0.032,0.148,0.032,0.22,2.3,0.057,0.276,0.76,0.15,0,12.02,5.577,0.436,0
01052,"CREAM,FLUID,LT WHIPPING",292.42,2.17,30.91,2.96,0,69.4,0.007,0.03,7.23,96.8,0.25,1127,0,0.024,0.125,0.028,0.195,3.7,0.042,0.259,0.61,0.6,0,19.337,9.093,0.618,0
01053,"CREAM,FLUID,HVY WHIPPING",344.781,2.05,37,2.79,0,64.6,0.006,0.03,7.03,75.4,0.23,1470,52,0.022,0.11,0.026,0.18,3.7,0.039,0.255,0.58,0.63,0,23.032,10.686,0.836,0
01054,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",257.314,3.2,22.22,12.49,0,101,0.01,0.05,10.78,147.3,0.37,843,0,0.037,0.065,0.041,0.292,2.6,0.07,0.305,0,0.6,0,13.831,6.418,0.502,0
01055,"CREAM,SOUR,RED FAT,CULTURED",134.52,2.94,12,4.26,0,104.4,0.016,0.07,10.1,128.9,0.5,452,0,0.035,0.149,0.016,0.3,10.8,0.067,0.363,0.86,0.324,0,7.47,3.466,0.271,0
01056,"CREAM,SOUR,CULTURED",214.257,3.16,20.96,4.27,0,116.4,0.019,0.06,11.23,144,0.27,790,0,0.035,0.149,0.016,0.3,10.8,0.067,0.36,0.86,0.566,1,13.047,6.054,0.473,0
01057,EGGNOG,134.605,3.81,7.48,13.54,0,130,0.013,0.2,18.5,165.2,0.46,352,0,0.034,0.19,0.05,0.45,0.9,0.105,0.417,1.5,0.227,0,4.443,2.233,0.227,0
01058,"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",177.639,3.25,16.57,4.68,0,113.1,0.01,0.03,9.91,161.5,0.37,10,0,0.038,0.163,0.017,0.329,11.8,0.074,0.398,0.94,0.124,0,13.272,1.958,0.468,0
01059,"MILK,FILLED,FLUID,W_per_BLEND OF HYDR VEG OILS",63.149,3.33,3.46,4.74,0,127.8,0.01,0.05,13.3,139,0.36,7,0,0.03,0.123,0.04,0.342,4.8,0.087,0.301,0.9,0,0,0.768,1.783,0.717,0
01060,"MILK,FILLED,FLUID,W_per_LAURIC ACID OIL",62.619,3.33,3.4,4.74,0,127.8,0.01,0.05,13.3,139,0.36,7,0,0.03,0.123,0.04,0.342,4.8,0.087,0.301,0.9,0.026,0,3.101,0.1,0.008,0
01067,"CREAM SUB,LIQ,W_per_HYDR VEG OIL&SOY PROT",135.645,1,9.97,11.38,0,9.3,0,0.03,0.33,190.5,0.02,89,0,0,0,0,0,0,0,0,0,1.616,0,1.937,7.551,0.022,0
01068,"CREAM SUB,LIQ,W_per_LAURIC ACID OIL&NA CASEINATE",136.445,1,9.97,11.38,0,9.3,0.025,0.03,0.33,190.5,0.02,89,0,0,0,0,0,0,0,0,0,0,0,9.304,0.106,0,0
01069,"CREAM SUBSTITUTE,POWDERED",546.482,4.79,35.48,54.88,0,22.3,0.115,1.15,4.06,811.8,0.51,203,0,0,0.165,0,0,0,0,0,0,0.266,0,32.525,0.968,0,0
01070,"DESSERT TOPPING,POWDERED",577.145,4.9,39.92,52.54,0,16.6,0.118,0.03,7.04,166,0.08,1077,0,0,0,0,0,0,0,0,0,0.299,0,36.723,0.6,0.447,0
01071,"DESSERT TOPPING,PDR,1.5 OZ PREP W_per_1_per_2 CUP MILK",189.047,3.6,12.41,16.53,0,90.1,0.012,0.04,9.68,150.7,0.27,361,0,0.027,0.117,0.03,0.257,3.6,0.06,0.226,0.68,0.14,0,10.684,0.843,0.166,0
01072,"DESSERT TOPPING,PRESSURIZED",263.507,0.98,22.3,16.07,0,5.3,0.024,0.02,1,19.1,0.01,473,0,0,0,0,0,0,0,0,0,0.167,0,18.912,1.927,0.241,0
01073,"DESSERT TOPPING,SEMI SOLID,FRZ",318.281,1.25,25.31,23.05,0,6.3,0.03,0.12,1.79,18.2,0.03,861,0,0,0,0,0,0,0,0,0,0.19,0,21.783,1.616,0.305,0
01074,"SOUR CRM,IMITN,CULTURED",208.463,2.4,19.52,6.63,0,2.5,0.058,0.39,6.38,160.5,1.18,0,0,0,0,0,0,0,0,0,0,0.146,0,17.791,0.588,0.056,0
01075,"MILK SUBSTITUTES,FLUID W_per_HYDR VEG OILS",61.456,1.75,3.41,6.16,0,32.5,0.051,0.39,6.38,114.3,1.18,0,0,0.012,0.088,0,0,0,0,0,0,1.054,0,0.767,1.998,0.364,0
01076,"MILK SUBSTITUTES,FLUID,W_per_LAURIC ACID OIL",61.456,1.75,3.41,6.16,0,32.5,0.051,0.39,6.38,114.3,1.18,0,0,0.012,0.088,0,0,0,0,0,0,0,0,3.037,0.176,0.008,0
01077,"MILK,FLUID,3.25% MILKFAT",61.441,3.29,3.34,4.66,0,119.4,0.01,0.05,13.44,151.5,0.38,126,40,0.038,0.162,0.042,0.357,5,0.084,0.314,0.94,0.1,0.3,2.079,0.965,0.075,0
01078,"MILK,PRODUCER,FLUID,3.7% MILKFAT",64.172,3.28,3.66,4.65,0,119,0.01,0.05,13.4,151,0.38,138,0,0.038,0.161,0.042,0.356,5,0.084,0.313,1.47,0.1,0,2.278,1.057,0.083,0
01079,"MILK,RED FAT,FLUID,2% MILKFAT,W_per_ VIT A",49.672,3.33,1.92,4.8,0,121.6,0.008,0.05,13.67,154.4,0.39,205,40,0.039,0.165,0.043,0.364,5.1,0.086,0.32,0.95,0.07,0,1.195,0.555,0.043,0
01080,"MILK,RED FAT,FLUID,2% MILKFAT,W_per_ NONFAT MILK SOL&VIT A",50.97,3.48,1.92,4.97,0,127.7,0.008,0.05,14.35,162.1,0.4,204,40,0.04,0.173,0.045,0.382,5.3,0.09,0.336,1,0.07,0,1.195,0.555,0.043,0
01081,"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W_per_ VIT A",55.517,3.95,1.98,5.49,0,143.1,0.008,0.06,16.08,181.7,0.45,203,40,0.045,0.194,0.051,0.428,6,0.101,0.376,1.12,0,0,1.232,0.572,0.045,0
01082,"MILK,LOWFAT,FLUID,1% MILKFAT,W_per_ VIT A",41.864,3.29,1.06,4.78,0,123,0.01,0.05,13.82,156.1,0.39,205,40,0.039,0.167,0.043,0.368,5.1,0.087,0.323,0.97,0.04,0,0.66,0.306,0.024,0
01083,"MILK,LOWFAT,FLUID,1% MILKFAT,W_per_ NONFAT MILK SOL&VIT A",42.62,3.48,0.97,4.97,0,127.7,0.01,0.05,14.35,162.1,0.4,204,40,0.04,0.173,0.045,0.382,5.3,0.09,0.336,1,0.04,0,0.604,0.28,0.022,0
01084,"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W_per_ VIT A",48.428,3.93,1.17,5.52,0,142,0.01,0.06,15.96,180.3,0.45,203,40,0.045,0.192,0.05,0.425,5.9,0.1,0.373,1.15,0,0,0.728,0.338,0.026,0
01085,"MILK,NONFAT,FLUID,W_per_ VIT A (FAT FREE OR SKIM)",34.912,3.41,0.18,4.85,0,123.4,0.011,0.04,11.36,165.6,0.4,204,40,0.036,0.14,0.04,0.378,5.2,0.088,0.329,0.98,0.04,0.02,0.117,0.047,0.005,0
01086,"MILK,NONFAT,FLUID,W_per_ NONFAT MILK SOL&VIT A (FAT FREE_per_SKIM)",36.869,3.57,0.25,5.02,0,129.1,0.011,0.05,14.51,170.7,0.41,204,40,0.041,0.175,0.046,0.386,5.4,0.091,0.339,1.01,0.04,0,0.162,0.065,0.006,0
01087,"MILK,NONFAT,FLUID,PROT FORT,W_per_ VIT A (FAT FREE_per_SKIM)",40.624,3.96,0.25,5.56,0,143,0.011,0.06,16.06,181.5,0.45,203,40,0.045,0.194,0.05,0.427,6,0.101,0.376,1.12,0,0,0.162,0.065,0.006,0
01088,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",40.406,3.31,0.88,4.79,0,116.4,0.011,0.05,10.95,151.3,0.42,33,0,0.034,0.154,0.034,0.219,5,0.058,0.275,0.98,0.06,0,0.548,0.254,0.02,0
01089,"MILK,LOW SODIUM,FLUID",60.911,3.1,3.46,4.46,0,100.8,0.01,0.05,5,252.8,0.38,130,0,0.02,0.105,0.034,0.359,5,0.043,0.304,0.94,0.1,0,2.154,0.999,0.078,0
01090,"MILK,DRY,WHOLE",495.853,26.32,26.71,38.42,0,912.4,0.08,0.47,84.51,1329.9,3.34,922,312,0.283,1.205,0.302,3.253,37,0.646,2.271,8.64,1.08,2,16.742,7.924,0.46,0
01091,"MILK,DRY,NONFAT,REG,WO_per_ VIT A",362.334,36.16,0.77,51.98,0,1256.9,0.041,0.32,110.1,1794.1,4.08,36,332,0.415,1.55,0.361,4.033,50.1,0.951,3.568,6.76,0.021,0,0.499,0.201,0.019,0
01092,"MILK,DRY,NONFAT,INST,W_per_ VIT A",358.181,35.1,0.72,52.19,0,1230.8,0.041,0.31,117.11,1705.4,4.41,2370,440,0.413,1.744,0.345,3.993,49.8,0.891,3.235,5.58,0.019,0,0.467,0.187,0.018,0
01093,"MILK,DRY,NONFAT,CA RED",353.809,35.5,0.2,51.8,0,280,0.016,0.32,60,680,4.03,8,0,0.163,1.642,0.298,3.976,49.5,0.665,3.312,6.68,0.005,0,0.124,0.058,0.005,0
01094,"MILK,BUTTERMILK,DRIED",386.897,34.3,5.78,49,0,1184.4,0.111,0.3,109.5,1592,4.02,218,0,0.392,1.579,0.338,3.823,47.4,0.876,3.17,5.66,0.4,0,3.598,1.669,0.131,0
01095,"MILK,CND,COND,SWTND",320.777,7.91,8.7,54.4,0,283.5,0.015,0.19,25.65,371.4,0.94,328,0,0.09,0.416,0.051,0.444,11.2,0.21,0.75,2.6,0.214,0,5.486,2.427,0.216,0
01096,"MILK,CND,EVAP,WO_per_ VIT A",134.386,6.81,7.56,10.04,0,260.8,0.016,0.19,24.19,303.1,0.77,243,0,0.047,0.316,0.05,0.163,7.9,0.194,0.638,1.88,0.18,0,4.591,2.335,0.167,0
01097,"MILK,CND,EVAP,NONFAT",77.921,7.55,0.2,11.35,0,289.5,0.016,0.29,27,331.5,0.9,392,80,0.045,0.309,0.055,0.239,8.6,0.174,0.738,1.24,0.005,0,0.121,0.062,0,0
01102,"MILK,CHOC,FLUID,COMM,",83.35,3.17,3.39,10.34,0.8,112.1,0.065,0.24,13.03,166.9,0.41,121,40,0.037,0.162,0.04,0.334,4.7,0.125,0.295,0.91,0.091,0,2.104,0.99,0.078,0
01103,"MILK,CHOC,FLUID,COMM,RED FAT",71.535,3.21,2,10.4,0.5,113.6,0.063,0.24,13.2,168.8,0.41,200,40,0.037,0.164,0.041,0.339,4.8,0.126,0.299,0.92,0.053,0.4,1.239,0.588,0.047,0
01104,"MILK,CHOC,FLUID,COMM,LOWFAT",63.028,3.24,1,10.44,0.5,114.7,0.065,0.24,13.33,170.2,0.41,200,40,0.038,0.166,0.041,0.342,4.8,0.127,0.302,0.93,0.026,0,0.616,0.3,0.024,0
01105,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",77,3.91,2.33,11.79,0.8,126,0.121,0.46,28,200,0.59,206,0,0.041,0.174,0.047,0.37,6,0.15,0.329,1,0.103,0,1.438,0.683,0.057,0
01106,"MILK,GOAT,FLUID",68.813,3.56,4.14,4.45,0,133.5,0.046,0.05,13.97,204.4,0.3,185,12,0.048,0.138,0.046,0.065,0.6,0.277,0.31,1.29,0.09,0,2.667,1.109,0.109,0
01107,"MILK,HUMAN,MATURE,FLUID",69.563,1.03,4.38,6.89,0,32.2,0.052,0.03,3.4,51.2,0.17,241,4,0.014,0.036,0.011,0.045,5.2,0.177,0.223,5,0.9,0,2.009,1.658,0.374,0
01108,"MILK,INDIAN BUFFALO,FLUID",96.622,3.75,6.89,5.18,0,169,0.046,0.12,31.12,177.7,0.22,178,0,0.052,0.135,0.023,0.363,5.6,0.091,0.192,2.25,0,0,4.597,1.787,0.07,0
01109,"MILK,SHEEP,FLUID",107.808,5.98,7,5.36,0,193.4,0.046,0.1,18.36,136.5,0.54,147,0,0.065,0.355,0.06,0.711,7,0.417,0.407,4.16,0,0,4.603,1.724,0.181,0
01110,"MILK SHAKES,THICK CHOC",118.607,3.05,2.7,21.15,0.3,132,0.065,0.31,16,224,0.48,86,0,0.047,0.222,0.025,0.315,4.9,0.124,0.363,0,0.1,0,1.681,0.78,0.061,0
01111,"MILK SHAKES,THICK VANILLA",111.808,3.86,3.03,17.75,0,146.1,0.051,0.1,11.76,182.7,0.39,114,0,0.03,0.195,0.042,0.52,6.6,0.146,0.368,0,0.1,0,1.886,0.875,0.068,0
01112,"WHEY,ACID,FLUID",23.851,0.76,0.09,5.12,0,102.7,0.003,0.08,9.74,143.1,0.43,7,0,0.042,0.14,0.042,0.179,2.2,0.079,0.381,0.06,0.001,0,0.057,0.025,0,0
01113,"WHEY,ACID,DRIED",339.085,11.73,0.54,73.45,0,2054.4,0.05,1.24,198.95,2288.5,6.31,58,0,0.622,2.06,0.62,2.5,33.2,1.16,5.632,0.9,0.015,0,0.342,0.149,0.018,0
01114,"WHEY,SWEET,FLUID",26.686,0.85,0.36,5.14,0,46.8,0.004,0.06,8.26,161,0.13,16,0,0.036,0.158,0.031,0.277,0.8,0.074,0.383,0.1,0.01,0,0.23,0.1,0.008,0
01115,"WHEY,SWEET,DRIED",352.776,12.93,1.07,74.46,0,796.1,0.07,0.88,176.1,2079.7,1.97,44,0,0.519,2.208,0.584,2.371,11.6,1.258,5.62,1.49,0.029,0,0.684,0.297,0.025,0
01116,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",61.419,3.47,3.25,4.66,0,120.7,0.009,0.05,11.58,154.6,0.59,123,0,0.029,0.142,0.032,0.372,7.4,0.075,0.389,0.53,0.088,0,2.096,0.893,0.065,0
01117,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",63.287,5.25,1.55,7.04,0,182.6,0.013,0.08,17.45,233.8,0.89,66,0,0.044,0.214,0.049,0.562,11.2,0.114,0.591,0.8,0.042,0.3,1,0.426,0.031,0
01118,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",55.771,5.73,0.18,7.68,0,199.1,0.015,0.09,19.1,254.9,0.97,7,0,0.048,0.234,0.053,0.613,12.2,0.124,0.641,0.87,0.005,0,0.116,0.049,0,0
01119,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",85.445,4.93,1.25,13.8,0,171.3,0.013,0.07,16.43,219.3,0.83,54,0,0.042,0.201,0.045,0.527,10.5,0.107,0.552,0.75,0.034,0,0.806,0.343,0.025,0
01120,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",99.24,3.98,1.15,18.64,0,138.3,0.079,0.06,13.27,177.1,0.67,49,0,0.034,0.162,0.037,0.426,8.5,0.086,0.446,0.6,0.031,0,0.742,0.316,0.023,0
